StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q10_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age?,"For the remaining questions, consider the following hypothetical scenario.

You receive your monthly paycheque. After paying all your expenses, you have a sum of money leftover. Let's call this disposible income less expenses.

Please click the second box to confirm you understand the scenario.","You receive your paycheque and after paying all your expenses, you have a sum of money leftover. 

Please use the slider to indicate how much you would save, and how much you would invest. - What percent of your leftover income would you invest?","On average, annual inflation is 3%. This means if you save, you can expect your money to decrease on average by 3% per year, after adjusting for inflation.

Since its existence, the S&P500 has averaged an 11.82% increase annually. This means, if you invest in an S&P500 index (subject to volatility) you can expect your money to increase on average by 8.82% per year, after adjusting for inflation.

With this information in mind, please move the slider to indicate how much you would save, and how much you would invest. - What percent of your leftover income would you invest?","You receive your paycheque and after paying all your expenses, you have a sum of money leftover. 

Please move the slider to indicate how much you would save, and how much you would invest. - What percent of your leftover income would you invest?","Your financial advisor makes you aware of the average allocation clients tend to set, demonstrated by the new default position of the slider. 

You receive your paycheque and after paying all your expenses, you have a sum of money leftover. 

Please move the slider to indicate how much you would save, and how much you would invest. - What percent of your leftover income would you invest?","On average, annual inflation is 3%. This means if you save, you can expect your money to decrease on average by 3% per year, after adjusting for inflation.

Since its existence, the S&P500 has averaged an 11.82% increase annually. This means, if you invest in an S&P500 index (subject to volatility) you can expect your money to increase on average by 8.82% per year, after adjusting for inflation.

This means €5000 saved would on average lose €150 annualy in real terms, whereas €5000 invested in the S&P500 would on average gain €441 annually in real terms.

With this information in mind, please move the slider to indicate how much you would save, and how much you would invest. - What percent of your leftover income would you invest?","Out of the following options, which goals are most important to you? Rank from highest to lowest. - Real estate","Out of the following options, which goals are most important to you? Rank from highest to lowest. - Childrens Education","Out of the following options, which goals are most important to you? Rank from highest to lowest. - Holidays & Leisure","Out of the following options, which goals are most important to you? Rank from highest to lowest. - Retirement","Out of the following options, which goals are most important to you? Rank from highest to lowest. - Financial freedom","Out of the following options, which goals are most important to you? Rank from highest to lowest. - Other","Which allocation between Saving and Investing would you set to acheive these Financial Goals? 

Please move the slider to indicate how much you would save, and how much you would invest. - What percent of your leftover income would you invest?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID13_1""}"
2023-03-22 09:31:54,2023-03-22 09:32:07,1,,100,13,1,2023-03-22 09:32:08,R_W9wnH5INzmaCwFz,,,,,,,preview,EN,1,2,,,,,,,,,,,,
2023-03-22 09:36:43,2023-03-22 09:36:59,1,,100,15,1,2023-03-22 09:37:00,R_Usfav8Uo8iYOx0d,,,,,,,preview,EN,1,2,43,37,,,,,,,,,,
2023-03-22 09:39:59,2023-03-22 09:40:53,1,,100,54,1,2023-03-22 09:40:54,R_3koFOgq3HGAxuK8,,,,,,,preview,EN,1,2,50,62,,,,,,,,,,
2023-03-22 10:45:42,2023-03-22 10:46:34,1,,100,51,1,2023-03-22 10:46:35,R_pmUSYNX0DgP1jKF,,,,,,,preview,EN,1,2,,,41,79,50,5,1,2,3,4,6,46
2023-03-22 10:47:16,2023-03-22 10:49:04,0,,100,108,1,2023-03-22 10:49:05,R_2uJ4q9ZjeKANepX,,,,,,,anonymous,EN,1,2,,,50,70,80,2,4,3,5,1,6,88
2023-03-22 10:56:17,2023-03-22 10:57:24,0,,100,67,1,2023-03-22 10:57:24,R_brBv4JdK81HRLfX,,,,,,,anonymous,EN,1,2,30,50,,,,,,,,,,
2023-03-22 10:57:48,2023-03-22 10:59:39,0,,100,111,1,2023-03-22 10:59:40,R_piVvehweAbGf8n7,,,,,,,anonymous,EN,1,2,,,40,60,40,3,2,5,4,1,6,60
2023-03-22 11:01:55,2023-03-22 11:03:27,0,,100,92,1,2023-03-22 11:03:28,R_10uOLRirWVrygp6,,,,,,,anonymous,EN,1,2,30,60,,,,,,,,,,
2023-03-22 11:31:50,2023-03-22 11:34:30,0,,100,159,1,2023-03-22 11:34:30,R_Pw8T3RklWJxUa2J,,,,,,,anonymous,EN,1,2,77,77,,,,,,,,,,
2023-03-22 11:36:19,2023-03-22 11:38:03,0,,100,104,1,2023-03-22 11:38:04,R_1GN6ipqsFwrg642,,,,,,,anonymous,EN,2,2,20,100,,,,,,,,,,
2023-03-22 11:34:24,2023-03-22 11:38:48,0,,100,263,1,2023-03-22 11:38:48,R_2X1Eu8Yu5kIEvc7,,,,,,,anonymous,EN,1,2,,,20,20,40,2,5,3,4,1,6,30
2023-03-22 11:40:29,2023-03-22 11:42:50,0,,100,141,1,2023-03-22 11:42:50,R_32RrEeLxclWYpay,,,,,,,anonymous,EN,1,2,,,70,75,75,4,5,2,3,1,6,80
2023-03-22 11:45:32,2023-03-22 11:46:42,0,,100,69,1,2023-03-22 11:46:42,R_3lAqiwL2AX2A8yq,,,,,,,anonymous,EN,1,2,70,79,,,,,,,,,,
2023-03-22 11:45:23,2023-03-22 11:48:39,0,,100,196,1,2023-03-22 11:48:40,R_32WkPoPT9lqsLam,,,,,,,anonymous,EN,1,2,,,29,30,40,3,4,2,5,1,6,28
