,,,,,
Variable,Count,Mean,Std,Min,Max
fyear,"2,121",0,0,2013,2019
at,"2,121","14,672.16","36,518.75",10.05,"531,864.00"
cidergl,"2,101",-2.47,93.26,"-2,282.25","1,105.08"
derac,"2,121",33.59,150.90,0.00,"4,501.00"
deralt,"2,121",24.11,103.44,-7.00,"1,396.10"
derhedgl,"1,338",0.77,93.68,-654.00,"1,411.00"
derlc,"2,121",30.41,150.41,0.00,"4,427.00"
derllt,"2,121",34.61,238.37,-8.66,"7,967.00"
dlc,"2,121",632.94,"3,139.40",0.00,"54,313.00"
dltt,"2,120","3,833.17","9,576.74",0.00,"166,250.00"
dt,"2,119","4,231.99","11,314.74",0.00,"173,453.00"
ebit,"2,121","1,358.29","3,506.21","-6,133.00","42,959.00"
ebitda,"2,121","1,943.79","4,906.30","-1,134.00","56,574.00"
lt,"2,121","9,346.33","23,510.50",0.12,"337,980.00"
ppegt,"2,119","7,048.67","26,517.39",0.00,"344,485.00"
ppent,"2,121","3,491.16","13,928.01",0.00,"188,396.00"
re,"2,121","4,480.67","15,748.42","-21,816.00","180,128.00"
revt,"2,121","11,574.76","35,917.22",0.00,"521,426.00"
sale,"2,121","11,574.76","35,917.22",0.00,"521,426.00"
seq,"2,121","5,193.02","15,100.66","-13,244.00","184,089.00"
wcap,"2,121","1,678.07","6,454.13","-18,857.00","111,174.00"
xrd,"2,121",472.05,"1,583.97",0.00,"16,876.00"
mkvalt,"2,121","19,091.50","51,644.13",0.00,"1,023,856.28"
gsector,"2,121",0,0,10,50
sic,"2,121",0,0,100,8742
id,"2,121",0,0,50,"55,919"
,,,,,
Variable (Computed),Count,Mean,Std,Min,Max
rd intensity,"2,121",0.06,0.10,0.00,1.20
Altman Z-score AD,"2,121",1.20,2.94,-52.13,6.19
hedging intensity,"2,121",88.11,339.57,0.00,"9,085.00"
Altman Z-score NA,"2,121",4.50,12.43,-48.93,395.99
hedge group,"2,121",0.76,0.43,0.00,1.00
size,"2,121",7.89,2.05,2.31,13.18
fp,"2,121",0.09,0.17,-2.39,0.80
ast,"2,121",0.20,0.16,0.00,0.93
mb,"2,121",5.22,92.31,"-1,734.68","3,399.45"
leve,"2,121","9,346.33","23,510.50",0.12,"337,980.00"
sector,"2,121",0,0,100,8742
time,"2,121",0,0,2013,2019
defr,"2,121",1.20,2.94,-52.13,6.19
